"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jul 15 11:35:05 BRT 2021","Thu Jul 15 11:35:14 BRT 2021","9318","","Registration Fixture","","Registration Fixture","User Registration and Login Test","User Registration and Login Test",""
"failed","Thu Jul 15 11:34:35 BRT 2021","Thu Jul 15 11:34:44 BRT 2021","9677","","Registration Fixture","","Registration Fixture","Assert Homes Page Test","Assert Homes Page Test",""
